x,y
0,20.82
1,21.94
2,23.06
3,24.18
4,25.3
5,26.42
6,27.54
7,28.66
8,29.78
9,30.9
10,32.02
11,33.14
12,34.26
13,35.38
14,36.5
15,37.62
16,38.74
17,39.86
18,40.98
19,42.1
20,43.22
21,44.34
22,45.46
23,46.58
24,47.7
25,48.82
26,49.94
27,51.06
28,52.18
29,53.3
30,54.42
31,55.54
32,56.66
33,57.78
34,58.9
35,60.02
36,61.14
37,62.26
38,63.38
39,64.5
40,65.62
41,66.74
42,67.86
43,68.98
44,70.1
45,71.22
46,72.34
47,73.46
48,74.58
49,75.7
50,76.82
51,77.94
52,79.06
53,80.18
54,81.3
55,82.42
56,83.54
57,84.66
58,85.78
59,86.9
60,88.02
61,89.14
62,90.26
63,91.38
64,92.5
65,93.62
66,94.74
67,95.86
68,96.98
69,98.1
70,99.22
71,100.34
72,101.46
73,102.58
74,103.7
75,104.82
76,105.94
77,107.06
78,108.18
79,109.3
80,110.42
81,111.54
82,112.66
83,113.78
84,114.9
85,116.02
86,117.14
87,118.26
88,119.38
89,120.5
90,121.62
91,122.74
92,123.86
93,124.98
94,126.1
95,127.22
96,128.34
97,129.46
98,130.58
99,131.7
